"ID";"RegioS";"Perioden";"TotaleBevolking_1"
"17081";"GM0857";"2020JJ00";""
"17107";"GM0450";"2020JJ00";"   13666"
"17133";"GM0451";"2020JJ00";"   29478"
"17159";"GM0184";"2020JJ00";"   21031"
"17185";"GM0344";"2020JJ00";"  357597"
"17211";"GM1581";"2020JJ00";"   49580"
"17237";"GM0981";"2020JJ00";"   10105"
"17263";"GM0283";"2020JJ00";""
"17289";"GM0619";"2020JJ00";""
"17315";"GM0994";"2020JJ00";"   16367"
"17341";"GM0720";"2020JJ00";""
"17367";"GM0858";"2020JJ00";"   31193"
"17393";"GM0047";"2020JJ00";"   27384"
"17419";"GM0345";"2020JJ00";"   66493"
"17445";"GM0717";"2020JJ00";"   21880"
"17471";"GM0860";"2020JJ00";""
"17497";"GM0861";"2020JJ00";"   45466"
"17523";"GM0453";"2020JJ00";"   68648"
"17549";"GM0454";"2020JJ00";""
"17575";"GM0983";"2020JJ00";"  101802"
"17601";"GM0984";"2020JJ00";"   43614"
"17627";"GM0862";"2020JJ00";""
"17653";"GM0620";"2020JJ00";""
"17679";"GM0863";"2020JJ00";""
"17705";"GM1961";"2020JJ00";"   56811"
"17731";"GM0622";"2020JJ00";"   73397"
"17757";"GM0048";"2020JJ00";""
"17783";"GM0132";"2020JJ00";""
"17809";"GM0347";"2020JJ00";""
"17835";"GM0096";"2020JJ00";"    1155"
"17861";"GM0864";"2020JJ00";""
"17887";"GM0718";"2020JJ00";"   44360"
"17913";"GM0623";"2020JJ00";""
